,BLOCK1:ZONE1,BLOCK1:ZONE1,BLOCK1:ZONE1,Environment,Environment
,Zone Mean Air Temperature,Zone Mean Radiant Temperature,Zone Operative Temperature,Site Outdoor Air Dewpoint Temperature,Site Outdoor Air Drybulb Temperature
,C,C,C,C,C
2002-06-29 01:00:00,30.96742397792265,33.074866852737955,32.021145415330295,10.525,17.200000000000003
2002-06-29 02:00:00,30.61924473026471,32.61432093736829,31.6167828338165,11.225,17.2
2002-06-29 03:00:00,30.051284203608876,32.13948721850372,31.0953857110563,12.024999999999999,15.725
2002-06-29 04:00:00,29.477354829029533,31.666237971177488,30.57179640010351,11.9,14.85
2002-06-29 05:00:00,29.20596202891241,31.437478324338162,30.321720176625284,11.425,14.55
2002-06-29 06:00:00,29.653784692572167,31.924900490787202,30.789342591679684,10.175,15.700000000000001
2002-06-29 07:00:00,30.71669293936752,32.877070637657965,31.796881788512742,8.899999999999999,17.525
2002-06-29 08:00:00,31.948708830372723,34.07382641544807,33.011267622910395,8.825,19.799999999999997
2002-06-29 09:00:00,33.35061863505425,35.375958787420075,34.36328871123716,7.025,21.75
2002-06-29 10:00:00,34.485399555261544,36.53626798760162,35.51083377143158,6.925,23.325
2002-06-29 11:00:00,35.52255265584561,37.40285566128023,36.462704158562914,4.1,24.599999999999998
2002-06-29 12:00:00,36.127688565176705,37.99209192049493,37.05989024283582,1.825,25.35
2002-06-29 13:00:00,36.70574488519766,38.62110947503072,37.66342718011419,2.975,26.1
2002-06-29 14:00:00,37.436516393102224,39.364743825578785,38.4006301093405,2.0,26.375
2002-06-29 15:00:00,38.04650466565003,39.988979176347144,39.01774192099859,1.2000000000000002,26.4
2002-06-29 16:00:00,38.41950028983965,40.34062634832057,39.38006331908011,1.325,26.4
2002-06-29 17:00:00,38.41451548286058,40.34705168121401,39.38078358203729,2.675,26.175
2002-06-29 18:00:00,38.02095050666482,39.952308004844205,38.98662925575451,4.075,25.725
2002-06-29 19:00:00,37.08184802995791,38.98472946523118,38.03328874759455,5.9,24.4
2002-06-29 20:00:00,35.65744031007448,37.6234488548527,36.64044458246359,7.825000000000001,22.65
2002-06-29 21:00:00,34.4568106628946,36.465892852403115,35.461351757648856,8.45,20.55
2002-06-29 22:00:00,33.30149470432434,35.49540222422455,34.39844846427445,8.875,18.725
2002-06-29 23:00:00,32.393124573862224,34.64228884671618,33.517706710289204,9.375,17.175
2002-06-30 00:00:00,31.573810800029968,33.88739729199304,32.73060404601151,10.55,15.75
2002-06-30 01:00:00,30.845618279242604,33.20588727710113,32.02575277817187,11.35,14.575000000000001
2002-06-30 02:00:00,30.23807489887014,32.59049815287028,31.41428652587021,11.725000000000001,14.075
2002-06-30 03:00:00,29.559236066375785,31.998038412906475,30.778637239641128,10.45,12.2
2002-06-30 04:00:00,28.802371556302504,31.379276796740378,30.090824176521437,9.100000000000001,10.549999999999999
2002-06-30 05:00:00,28.53322639957495,31.055494755528883,29.794360577551917,9.175,11.475000000000001
2002-06-30 06:00:00,29.122973884492968,31.53556942184793,30.32927165317045,10.35,13.55
2002-06-30 07:00:00,30.188208478836806,32.519760264970735,31.35398437190377,11.375,15.525
2002-06-30 08:00:00,31.473838819201422,33.75637471155678,32.615106765379096,12.725,18.025
2002-06-30 09:00:00,33.081106387012,35.16848288984431,34.124794638428156,14.0,21.25
2002-06-30 10:00:00,34.712760495529906,36.579134635792286,35.6459475656611,15.125,24.575
2002-06-30 11:00:00,35.97956149392087,37.73695203095453,36.85825676243769,14.35,26.9
2002-06-30 12:00:00,36.992169936027324,38.58963121561567,37.790900575821496,14.524999999999999,28.3
2002-06-30 13:00:00,37.82527411363148,39.443318712846995,38.63429641323924,13.8,29.35
2002-06-30 14:00:00,38.79743181229665,40.393762857563786,39.59559733493022,13.8,30.5
2002-06-30 15:00:00,39.66676832071563,41.23075257174533,40.44876044623048,12.775,31.175
2002-06-30 16:00:00,40.08340439068347,41.692529814556934,40.8879671026202,13.825000000000001,30.475
2002-06-30 17:00:00,40.00694515374629,41.70639924030836,40.85667219702732,13.55,29.3
2002-06-30 18:00:00,39.592286533663994,41.31573757463228,40.45401205414814,13.524999999999999,28.549999999999997
2002-06-30 19:00:00,38.606204953817816,40.35134766476763,39.47877630929272,13.825,26.975
2002-06-30 20:00:00,37.116320672194036,38.92521340207858,38.02076703713631,13.9,25.299999999999997
2002-06-30 21:00:00,35.94287534952593,37.75018060926937,36.84652797939765,13.975,23.625
2002-06-30 22:00:00,34.79166315604715,36.77733424789456,35.784498701970854,14.0,21.775
2002-06-30 23:00:00,33.815062693563966,35.900806881389954,34.857934787476964,13.850000000000001,19.725
2002-07-01 00:00:00,32.86409129688096,35.08457534925803,33.974333323069494,13.5,17.55
2002-07-01 01:00:00,31.871624293095863,34.22321944543716,33.047421869266515,13.025,15.575
2002-07-01 02:00:00,31.118779484978212,33.5921844481002,32.3554819665392,12.450000000000001,13.9
2002-07-01 03:00:00,30.56703743917324,33.05954133341447,31.813289386293857,11.925,12.675
2002-07-01 04:00:00,29.936148883661115,32.4934461103458,31.21479749700346,11.649999999999999,11.950000000000001
2002-07-01 05:00:00,24.236521889891186,31.53670569300907,27.886613791450127,11.449996948242188,11.5
2002-07-01 06:00:00,24.001485917030152,30.158647689353142,27.08006680319165,11.024992540653717,11.025
2002-07-01 07:00:00,24.000064269762305,29.60639170434646,26.803227987054385,11.125,11.725
2002-07-01 08:00:00,24.000003331314822,29.550522415131226,26.775262873223024,11.05,11.850000000000001
2002-07-01 09:00:00,24.000000201772156,30.162450920099694,27.081225560935927,11.225000000000001,12.85
2002-07-01 10:00:00,24.000000014506632,30.594821690275687,27.297410852391156,11.0,14.025
